Timestamp,What kind of user are you?,Where do you work?,What country are you in?,Are you part of the U.S. Exascale Computing Project (ECP)?,What are your primary application areas?,How did you find out about Spack?,How long have you been using Spack?,Have you contributed to Spack?,What version(s) of Spack do you use?,What OS do you use Spack on?,How many software installations have you done with Spack in the past year?,What Python version(s) do you use to run Spack?,How bad would it be if Spack dropped support for Python 2.6?,How bad would it be if Spack ONLY worked with Python 3?,How do you get installed Spack packages into your environment?,Which of the following Spack features do you use?,Which processors do you expect to use with Spack in the next year?,Which GPUs do you expect to use with Spack in the next year?,Which compilers do you expect to use with Spack in the next year?,"Rank these TBD Spack features by importance [New, backtracking concretizer]",Rank these TBD Spack features by importance [Use existing installs more aggressively],Rank these TBD Spack features by importance [Separate concretization of build dependencies ],Rank these TBD Spack features by importance [AWS/Azure/GCP/Cloud integration],"Rank these TBD Spack features by importance [Optimized, public binary packages]",Rank these TBD Spack features by importance [Better Developer features (easily develop multiple packages + 3rd party dependencies)],Rank these TBD Spack features by importance [Notifications about changes to my packages],Rank these TBD Spack features by importance [Build testing for every PR],"Rank these TBD Spack features by importance [Language virtual dependencies (e.g., depends_on(""cxx@2017:""))]",Rank these TBD Spack features by importance [Testing / integration with Pavilion2/ReFrame/other test tool],Rank these TBD Spack features by importance [Better compiler flag handling],Rank these TBD Spack features by importance [Windows Support],What features NOT in the prior list would you like to see?,"If we had a (virtual) workshop on Spack, would you attend? ",Have you done a Spack Tutorial?,How do you get help with Spack when you need it?,How often do you consult the Spack documentation?,"If there were commercial support for Spack, would you or your organization buy it?",How would you rate the overall quality of ... [Spack documentation],How would you rate the overall quality of ... [Spack community],How would you rate the overall quality of ... [Spack packages],How would you rate the overall quality of ... [Spack],Tell us briefly about your use case and your usual Spack workflow.,What about Spack helps you the most?,What are the biggest pain points in Spack for your workflow? (feel free to link to issues),What's the biggest thing we could do to improve Spack over the next year?,Are there key packages you'd like to see in Spack that are not included yet?,Do you have any other comments for us?
11/17/2020 18:37:59,System Administrator,University HPC/Computing Center,United Kingdom,No,Traditional HPC / Simulation,Word of mouth,1,No,0.15,CentOS,1 - 10,"2.7, 3.6",I'd live.  (I can provide 2.7 somehow),I'd live (I can provide Python 3 somehow),"spack load, Spack environments, Environment Modules (TCL modules)","Environments, Module generation, Externals in packages.yaml","AMD, Intel","NVIDIA, AMD","gcc, Intel Compilers, Intel OneAPI / dpc++, AMD aocc",Somewhat important,Very Important,Somewhat important,Not Important,Not Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Not Important,Slightly Important,Not Important,"Better support for system-wide installs, and documentation/recipes how to do this.","Yes, I'd attend",Yes,Documentation,Weekly,Probably not,Bad,OK,Good,OK,"Installing a spack stack system wide for developers to use, with different optimisations for different cpu architectures",Simplification of install procedure.,Spack on NFS doesn't seem to work well (e.g. permission denied for perfectly readable files).  Failures to concretize with nonsense errors.,"Recipes for installing system wide, using existing compilers, on different architectures",,
11/17/2020 18:39:25,Scientist/Researcher,Other Public Research Lab,Hungary,No,"Traditional HPC / Simulation, Bioinformatics",Word of mouth,2,"Packages, Issues",develop,Arch,100 - 200,"3.6, 3.7, 3.8",Do it!,Do it!,"spack load, Spack environments",Environments,"AMD, Intel",NVIDIA,"gcc, Intel Compilers, LLVM",Somewhat important,Somewhat important,Somewhat important,Not Important,Not Important,Critical,Critical,Not Important,Very Important,Slightly Important,Somewhat important,Not Important,,Maybe,No,"Documentation, Mailing List",Monthly,Probably not,Excellent,Excellent,Excellent,Excellent,"I manage a small cluster (5 computers, including the head node, 3 different architectures: linux-archrolling-zen, linux-archrolling-skylake, linux-archrolling-nehalem; each node has a GPU: NVidia GTX 1080 Ti or NVidia GTX 1050 Ti). We use several versions of GROMACS and PLUMED. I have one spack environment for each arch, containing all the packages. The slurm prolog script ensures that the appropriate environment is loaded from the job script, and then ""spack load"" can load the appropriate modules.","Automating builds and dependencies, managing several versions of software. ",Lack of support for inhomogeneous clusters.,"More support for inhomogeneous clusters: 1) make ""spack load"" recognize the architecture it runs on and take only packages built for that architecture (or a more general one, e.g. on sandybridge, use sandybridge or x86_64. 2) Make include directives work in all configuration YAML files, in all sections. This way one can have a spack environment corresponding to each target, and the environment spack.yaml files can have the same requirement sections.",,Keep up the good work!
11/17/2020 18:43:06,Software Developer,Other Public Research Lab,Italy,No,"Traditional HPC / Simulation, Compiler Testing",Word of mouth,5,"Packages, Core Features, Slack Discussions, Issues",develop,"macOS, Red Hat, Ubuntu",100 - 200,2.7,Do it!,Unacceptable,Environment Modules (TCL modules),"Environments, Module generation, build-env (debug a build), Externals in packages.yaml, Concretization preferences in packages.yaml","Intel, IBM Power, ARM","NVIDIA, AMD, Intel","gcc, Intel OneAPI / dpc++, LLVM, nvcc, Fujitsu Compilers, armclang",Very Important,Somewhat important,Slightly Important,Not Important,Very Important,Somewhat important,Somewhat important,Critical,Somewhat important,Not Important,Somewhat important,Not Important,"QA, e.g.: more extensive CI on packages for tagged releases.","Yes, I'd attend",Yes,"Documentation, GitHub",Weekly,Probably,Excellent,Excellent,Good,Good,,,,"QA: less features but really solid CI on tagged releases, including packages.",,"It would be great to be able to offer GitHub CI runners on local HPC machines to test weird packages/variants that are hard to test otherwise (e.g.: vendor's math libraries, vendor's toolchains, etc...)."
11/17/2020 22:07:20,Scientist/Researcher,Other Public Research Lab,Germany,No,Traditional HPC / Simulation,Word of mouth,0,No,0.14,Red Hat,10 - 100,3.7,Do it!,Do it!,"spack load, Environment Modules (TCL modules)","Environments, Module generation","Intel, IBM Power",NVIDIA,"gcc, Intel Compilers, Intel OneAPI / dpc++, PGI, NVIDIA Compilers (new PGI), CCE (Cray Compilers)",Very Important,Very Important,Very Important,Somewhat important,Very Important,Somewhat important,Very Important,Very Important,Somewhat important,Somewhat important,Very Important,Somewhat important,,Maybe,Yes,Documentation,Monthly,Probably not,Good,Excellent,Good,Excellent,Building application dependencies for 2nd class compilers on HPC (e.g. hdf5-mpi w/ pgi on power9 system),combinatorial build options.,,,,
11/17/2020 18:48:53,Software Developer,University HPC/Computing Center,Switzerland,No,Traditional HPC / Simulation,Used at my site,1,"Packages, Issues",develop,"CentOS, Arch",10 - 100,"3.6, 3.8",Do it!,Do it!,spack build-env,"Environments, Module generation, build-env (debug a build), spack external find, Externals in packages.yaml, Concretization preferences in packages.yaml","AMD, Intel, IBM Power","NVIDIA, AMD, Intel","gcc, NVIDIA Compilers (new PGI), LLVM, AMD hipclang, nvcc",Very Important,Critical,Very Important,Somewhat important,Critical,Critical,Somewhat important,Very Important,Very Important,Somewhat important,Somewhat important,Somewhat important,"1. Public binary mirror
2. Better handling of package components (a mechanism different than variant() that builds on top of the base package instead of reinstalling everything)
3. Breaking up big and commonly used packages such as Boost and Trilinos into separate smaller packages when possible. (this is related to 1. as this will prevent reinstalling unrelated components and internal dependencies)
4. Document that `variant()` should only be used for options that change the final binary output of a recipe. (e.g. intel-mkl and intel-parallel-studio do NOT follow this rule, but I think they should as they include all the variant combinations already)
5. Better reusability of installed packages which takes account of ABI and build types: if a package is a C library, it is likely ABI compatible between compilers (e.g. gcc or clang) and between different versions of the same compiler, it is often not necessary to rebuild it with a newer compiler. Also it doesn't matter much if the build tool used (e.g. cmake) has a matching compiler in the spec that is being installed. ","Yes, I'd attend",Yes,"Documentation, Slack, Coworkers",Weekly,Probably,Good,Excellent,Excellent,Good,"I am a software developer. There is a spack recipe in the repository of the project I am working on (https://github.com/eth-cscs/DLA-Future). The spack package is slightly tweeked to match the branch I am currently working on. For each branch, I install a different version of the package and then use `spack build-env --dump <file> <spec>; source <file>` to get an environment that allows me to build and test the code as I work on the branch.",The concretizer (despite some issues) is the most helpful aspect of Spack. It allows for automatic dependency management and reproducibility.,"1. Handling of clang as a CUDA compiler (not as a host compiler for nvcc but for actually compiling CUDA code: the issue is in constraints specified in spack/lib/spack/spack/build_systems/cuda.py)
2. Dealing with huge packages such as Boost and Trilinos that often cause lengthy reinstalls due to their myriad variants. (it would be nice to break them up into smaller packages if possible)
3. Concretizer quirks around ABI and built types which cause lengthy reinstalls. Currently, to circumvent some of that, I've added most build tools and some system C libraries to my `package.py` marking them as `buildable: false`.
4. It would be nice if `spack dev-build` allowed for a custom build directory to be specified",public binary mirror,,
11/17/2020 18:50:20,Software Developer,Company,India,No,Traditional HPC / Simulation,Word of mouth,0,Packages,0.15,"Red Hat, CentOS",100 - 200,"3.5, 3.6, 3.7, 3.8",Do it!,I'd live (I can provide Python 3 somehow),"spack load, Spack environments","Environments, spack containerize, build-env (debug a build)","AMD, Intel",NVIDIA,"gcc, Intel Compilers, Intel OneAPI / dpc++, NVIDIA Compilers (new PGI), LLVM, AMD aocc, AMD hipclang, nvcc",Critical,Very Important,Critical,Critical,Critical,Critical,Critical,Very Important,Critical,Critical,Critical,Somewhat important,profiling tools,"Yes, I'd present something!",No,"Documentation, Slack",Daily,Probably,OK,Excellent,Excellent,Excellent,building HPC apps with different toolchains,building applications quickly and simply,Spack discussions over github are huge text and no conclusion provided,Providing AI and Cloud support,,
11/17/2020 18:51:53,Scientist/Researcher,University HPC/Computing Center,Japan,No,Traditional HPC / Simulation,Used at my site,1,No,0.15,CentOS,10 - 100,2.7,I'd live.  (I can provide 2.7 somehow),Unacceptable,spack load,Chaining,"AMD, Intel, ARM","NVIDIA, AMD, Intel","gcc, LLVM, Fujitsu Compilers, armclang",Not Important,Slightly Important,Slightly Important,Not Important,Slightly Important,Slightly Important,Somewhat important,Slightly Important,Slightly Important,Slightly Important,Very Important,Slightly Important,N/A,Maybe,No,"Slack, Coworkers",Weekly,Probably not,Bad,OK,OK,Good,Support Spack in Fugaku,,When `spack install xxx` fails (frequently),,,
11/17/2020 18:53:15,Software Developer,Other Public Research Lab,Switzerland,No,Traditional HPC / Simulation,Used at my site,0,"Packages, Core Features, Documentation, Slack Discussions, Issues","0.15, develop",Ubuntu,"500-1,000","3.7, 3.8",Do it!,Do it!,spack load,"Environments, Binary Caches, build-env (debug a build), Externals in packages.yaml, Concretization preferences in packages.yaml, spack ci (generate GitLab Pipelines), Distributed Builds (srun spack install)","AMD, Intel","NVIDIA, AMD","gcc, LLVM, AMD hipclang",Critical,Not Important,Critical,Slightly Important,Not Important,Critical,Not Important,Not Important,Somewhat important,Slightly Important,Critical,Not Important,Proper compiler packages!,Maybe,No,"Documentation, Slack, Coworkers",Monthly,No,Good,Excellent,Good,Good,Spack is part of our CI pipelines to test our package against the latest dependencies. We use dev-build + binary mirrors to make this work. Further we containerize the full application to run MPI tests on our clusters.,sharing specs with coworkers,,Compilers as packages; there's so many instances of build dependencies that aren't handled well at the moment (in particular the AMD stack currently).,,
11/17/2020 18:56:41,Scientist/Researcher,Other Public Research Lab,Germany,No,"Traditional HPC / Simulation, AI/ML",Used at my site,3,Packages,custom fork,Debian,100 - 200,2.6,Unacceptable  (it's the only python on important machines),Unacceptable,Containers,"Module generation, Stacks (matrices in environments)","AMD, Intel","NVIDIA, AMD, Intel","gcc, LLVM",Very Important,Very Important,Very Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Very Important,Not Important,,"Yes, I'd attend",No,"Documentation, Coworkers",Monthly,Probably not,Good,Good,Good,Good,,,,,,Keep it up!
11/17/2020 18:58:21,System Administrator,University HPC/Computing Center,United States,No,Traditional HPC / Simulation,Birds-of-a-feather (BOF) at conference,2,No,"0.12, 0.15",CentOS,10 - 100,"2.7, 3.5",I'd live.  (I can provide 2.7 somehow),I'd live (I can provide Python 3 somehow),Lmod,"Environments, Module generation, spack external find, Externals in packages.yaml, Concretization preferences in packages.yaml",Intel,NVIDIA,"gcc, Intel Compilers, PGI",Somewhat important,Critical,Somewhat important,Somewhat important,Very Important,Very Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,More coordination with OpenHPC and other scientific software repos,"Yes, I'd attend",Yes,"Documentation, Slack",Daily,Probably,Excellent,Excellent,Excellent,Excellent,I use Spack to build software that is not available in OpenHPC repos.,Its ability to build any of 3000+ packages quickly.,Integration of Spack and OpenHPC. Maybe someone can provide a Spack recipe for building scientific software stack similar to OpenHPC's,SLURM 20 support,,Thanks for all that you do. Spack is one of my favorite tools as a sysadmin and Todd is one of my favorite people in the HPC community.
11/17/2020 18:59:20,Scientist/Researcher,DOE/Office of Science Lab (ORNL/ANL/LBL),United States,Yes,"Traditional HPC / Simulation, High Energy Physics",Word of mouth,3,"Packages, Core Features, Slack Discussions, Issues","0.15, develop","macOS, Red Hat, CentOS",10 - 100,"3.6, 3.7, 3.8",Do it!,Do it!,"Spack environments, Lmod","Environments, Module generation, spack external find, Externals in packages.yaml, Concretization preferences in packages.yaml","AMD, Intel","NVIDIA, AMD","gcc, Intel Compilers, LLVM, nvcc",Very Important,Slightly Important,Somewhat important,Not Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Somewhat important,Not Important,Slightly Important,Somewhat important,,Maybe,Yes,"Documentation, Slack",Weekly,Probably,Excellent,OK,Good,Good,"Development environment, CI toolchain, institutional cluster deployment",,Concretization,,,
11/17/2020 19:02:01,User Support Staff,Other Public Research Lab,Sweden,No,Traditional HPC / Simulation,Word of mouth,3,"Slack Discussions, Issues","0.15, develop","Red Hat, CentOS, Fedora",100 - 200,"2.7, 3.6",Do it!,Do it!,"spack load, Lmod","Module generation, build-env (debug a build), spack external find, Concretization preferences in packages.yaml, Distributed Builds (srun spack install)","AMD, Intel, ARM","NVIDIA, AMD","gcc, Intel Compilers, NVIDIA Compilers (new PGI), AMD aocc, nvcc, armclang",Very Important,Somewhat important,Slightly Important,Not Important,Slightly Important,Slightly Important,Somewhat important,Slightly Important,Very Important,Somewhat important,Somewhat important,Not Important,None I can think of right now.,Maybe,No,"Documentation, Slack, spack help",Monthly,Probably not,OK,Good,Good,Good,Currently mostly for testing and/or benchmarking. In the future hopefully in production on our generally available large clusters.,Discoverability (spack list and info) and dynamic properties (variants and control over the dependency graph),It's a bit too dynamic at times (meaning you always get a new concretization and find new bugs..),,One example I went looking for not too long ago was amanzi-ats. The project seem to have some efforts done in the spack direction but nothing mainline yet.,
11/17/2020 19:04:50,Scientist/Researcher,Other Public Research Lab,Germany,No,"Traditional HPC / Simulation, Statistics / Data Analysis, AI/ML, Computer Science Research",Presentation,4,"Packages, Core Features, Slack Discussions, Mailing List, Issues","develop, custom fork","CentOS, Debian","> 1,000","2.7, 3.8",Do it!,I'd live (I can provide Python 3 somehow),"spack view, Containers","Environments, Module generation, Chaining, Stacks (matrices in environments), Binary Caches, build-env (debug a build), Python extensions (link python packages into interpreter prefix), Externals in packages.yaml, Concretization preferences in packages.yaml","AMD, Intel, ARM",NVIDIA,"gcc, LLVM",Critical,Very Important,Critical,Somewhat important,Somewhat important,Somewhat important,Slightly Important,Somewhat important,Very Important,Somewhat important,Very Important,Not Important,,"Yes, I'd present something!",Yes,"Documentation, Mailing List, Coworkers",Weekly,Probably not,Excellent,Good,Good,Good,"Tracking and providing external software dependencies for our software developments (neuromorphic hardware, software stack reaches from ""driver""-level (libusb or sockets) to user APIs (e.g. pytorch accelerator extension)), i.e. it provides the software for our hardware users, software developers and CI.",structured dependency tracking of our own software,concretization speed (but not 100% sure about performance as we miss O(3mon) of upstream development),failure reporting and overall speed,,
11/17/2020 19:07:25,Scientist/Researcher,University HPC/Computing Center,Germany,No,"Traditional HPC / Simulation, Statistics / Data Analysis, AI/ML",Used at my site,4,"Packages, Core Features, Issues","0.13, custom fork","Debian, Arch","> 1,000","2.7, 3.8",Do it!,I'd live (I can provide Python 3 somehow),"spack load, Spack environments, Environment Modules (TCL modules), spack view","Environments, Module generation, Chaining, Binary Caches, spack-python (Python scripting), Command Extensions, Python extensions (link python packages into interpreter prefix), Externals in packages.yaml, Concretization preferences in packages.yaml","AMD, Intel",NVIDIA,"gcc, NVIDIA Compilers (new PGI), LLVM, nvcc",Critical,Very Important,Critical,Not Important,Slightly Important,Very Important,Very Important,Somewhat important,Somewhat important,Slightly Important,Somewhat important,Not Important,better performance for binary caching,"Yes, I'd attend",Yes,"Documentation, Mailing List, GitHub",Monthly,No,Good,Good,OK,OK,"We use spack within singularity containers to have track all our system dependencies. If something breaks upon update, users can just move back to the previous container until the problem is fixed.","concretization, building views/environments","In general: Runtime performance.

Concretization for several hundred packages takes a very long time. We typically perform the concretization once and in parallel (in disjoint spack instances) for all disjoint toplevel packages. Afterwards, we use specfiles in all steps if supported (some change still await merge https://github.com/spack/spack/pull/13106).
While doing things in parallel, there sometimes are subtle notions as to when spack locks things, see https://github.com/spack/spack/issues/14055.

Also, the concretizer has problems identifying the newest version of package that is still supported by another package. We learned this the hard way when introducing Python 3 and had to pin all packages that still used Python 2 manually. See: https://github.com/spack/spack/issues/12431

Plus, it requires a bit too much of boiler-plate to keep packages in sync: https://github.com/spack/spack/pull/14002

Finally, creating and using binary caches via spack's capabilities is rather slow, as spack currently needs to make the caches location-agnostic by replacing all RPATHs. This is not needed for our workflow as we build containers in which the spack install will always reside at the exact same place → simple compression is far faster.",Concretizer,proper support for rust-based packages,"spack is the worst package manager there is, except for all the rest… ;)"
