Timestamp,What kind of user are you?,Where do you work?,What country are you in?,Are you part of the U.S. Exascale Computing Project (ECP)?,Are you part of any EuroHPC joint undertaking projects? (https://eurohpc-ju.europa.eu/),Are you part of some other project that uses Spack that you'd like us to highlight (leave blank if not)?,What languages do you primarily program in?,What are your primary application areas?,How did you find out about Spack?,How long have you been using Spack?,Have you contributed to Spack?,What version(s) of Spack do you use?,What OS do you use Spack on?,How many software installations have you done with Spack in the past year?,What Python version(s) do you use to run Spack?,How do you get installed Spack packages into your environment?,Which of the following Spack features do you use? (details at https://github.com/spack/spack/releases),Do you have local Spack package repositories?,Do you have any local modifications to Spack itself?,Do you use any third-party tools/front-ends to do development with Spack?,Which processors do you expect to use with Spack in the next year?,Which GPUs do you expect to use with Spack in the next year?,Which compilers do you expect to use with Spack in the next year?,Rank these TBD Spack features by importance [Better error messages],Rank these TBD Spack features by importance [Compilers as proper dependencies],"Rank these TBD Spack features by importance [Separate concretization of build dependencies (build build tools with gcc/clang, not fancy compilers)]","Rank these TBD Spack features by importance [Language virtual dependencies (e.g., depends_on(""cxx@2017:""))]",Rank these TBD Spack features by importance [Testing / integration with Pavilion2/ReFrame/other test tool],Rank these TBD Spack features by importance [More packages in public build caches],Rank these TBD Spack features by importance [Better organized/publicized public build caches],Rank these TBD Spack features by importance [Better compiler flag handling],Rank these TBD Spack features by importance [Performance/speed improvements],Rank these TBD Spack features by importance [Better autodetection of system packages],Rank these TBD Spack features by importance [Better GPU compiler support],Rank these TBD Spack features by importance [Generate GitHub Actions pipelines + build caches],Rank these TBD Spack features by importance [More developer features],Rank these TBD Spack features by importance [Improvements for `spack test`],Rank these TBD Spack features by importance [Better CI Stability / faster PR turnaround],Rank these TBD Spack features by importance [SpackOS/support for custom libc],What features NOT in the prior list would you like to see?,"We're planning an in-person Spack user meeting in August, will you plan to attend?",Have you done a Spack Tutorial?,How do you get help with Spack when you need it?,How often do you consult the Spack documentation?,"If there were commercial support for Spack, would you or your organization buy it?",If there were a software foundation (ala Linux Foundation or CNCF) around Spack would it make you more likely to use/recommend Spack?,How would you rate the overall quality of ... [Spack documentation],How would you rate the overall quality of ... [Spack community],How would you rate the overall quality of ... [Spack packages],How would you rate the overall quality of ... [Spack],Tell us briefly about your use case and your usual Spack workflow.,What about Spack has helped you the most in the past year?,What are the biggest pain points in Spack for your workflow? (feel free to link to issues),What's the biggest thing we could do to improve Spack over the next year?,Are there key packages you'd like to see in Spack that are not included yet?,Do you have any other comments for us?,"If you're interested in being contacted about your response, please leave us your email."
2/27/2023 13:27:57,User Support Staff,University HPC/Computing Center,United States,No,No,,"Python, sh/bash/other shell script","HPC / Simulation, Statistics / Data Analysis, AI/ML, Computer Science Research, Bioinformatics",Word of mouth,3,"Core Features, Slack Discussions, Issues",0.19,RHEL 7,10 - 100,3.8,Environment Modules (TCL modules),"Environments, Module generation, Stacks (matrices in environments), spack external find, Externals in packages.yaml, Concretization preferences in packages.yaml, New concretizer (clingo), concretization: --reuse (default)",No,No,,"AMD, Intel","NVIDIA Volta, NVIDIA Ampere","gcc, Intel Compilers, Intel OneAPI, NVHPC, nvcc (CUDA)",Very Important,Very Important,Very Important,Somewhat important,Not Important,Not Important,Not Important,Critical,Very Important,Critical,Very Important,Not Important,Not Important,Slightly Important,Slightly Important,Slightly Important,,"Yes, I'd like to attend",Yes,"Documentation, Slack, GitHub Issues, spack help",Monthly,Probably not,Probably not,Excellent,Good,Excellent,Good,,,,,,,
2/27/2023 16:57:32,Data Scientist,"DOE/Office of Science Lab (e.g., ORNL/ANL/LBL)",United States,No,No,,"C, C++, Python, Julia, Rust, Zig","Statistics / Data Analysis, Bioinformatics",Word of mouth,0,"No, Slack Discussions",,"macOS 12 (Monterey), RHEL 6, Rocky 8, Amazon Linux","> 1,000","3.6, 3.11","spack load, Spack environments, Lmod, spack build-env, Containers","Environments, Module generation, spack containerize, build-env (debug a build), Distributed Builds (srun/mpirun spack install), New concretizer (clingo), spack load",Yes -- several,No,No,AMD,No GPUs,"gcc, Intel Compilers, Intel OneAPI, LLVM",Very Important,Somewhat important,Slightly Important,Slightly Important,Slightly Important,Somewhat important,Somewhat important,Very Important,Critical,Somewhat important,Somewhat important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,,Maybe,Yes,"Documentation, Slack, Mailing List, GitHub Issues, spack help, Source Code",Daily,Probably not,Probably not,Good,Excellent,Good,Good,Installing software stack for group of analysts on a new cluster every year or so and supporting the same stack in the cloud. ,"Most builds work, the list of packages is very large, and it is usually very easy to create a new package. ","Any time something goes wrong, it can be really painful to fix.  I have reinstalled at least three times in my latest effort to get my most recent installation working the way I want it to.","Documentation improvements.  More troubleshooting examples in the docs (or somewhere) would be welcome, as would streamlining the narrative so that essential features and use cases are covered fully without intermixing of more advanced features.  For example, when  I first started using spack by following the 'getting started', I was baffled that after a successful build and install , the new package was 'not found'. I see others asking the same sort of questions on slack still. ",,,
2/27/2023 18:43:19,DevOps/SRE,"DOE/Office of Science Lab (e.g., ORNL/ANL/LBL)",United States,Yes,No,,"C, C++, Python, Perl, sh/bash/other shell script","HPC / Simulation, AI/ML, Computer Science Research",Used at my site,3,Packages,develop,"macOS 12 (Monterey), RHEL 7, RHEL 8, CentOS 7",100 - 200,"3.6, 3.7, 3.9, 3.10","Environment Modules (TCL modules), Containers","Environments, Module generation, spack containerize, Chaining (upstreams), Stacks (matrices in environments), Mirrors (spack mirror create / air gap support), Build caches (making binary packages), Public build caches at https://binaries.spack.io, E4S build caches (https://e4s.io), spack ci (GitLab pipeline generation -- yourself, not on our CI), spack-python (Python scripting), spack external find, Externals in packages.yaml, Concretization preferences in packages.yaml, New `require:` directive in packages.yaml, New concretizer (clingo), spack develop, concretization: --reuse (default), concretization: --fresh (build everything fresh), concretizer:unify:true (concretize together), concretizer:unify:when_possible, Variant/flag propagation (++, ~~, ==), Git versions, spack test, spack load, spackbot (@spackbot fix style; @spackbot rebuild everything, etc.)",No,No,No,"AMD, Intel, IBM Power, ARM","NVIDIA Volta, NVIDIA Ampere, NVIDIA Hopper, AMD MI200/250X, AMD MI300","gcc, Intel Compilers, Intel OneAPI, NVHPC, LLVM, AMD ROCmCC (amdclang/hipcc), nvcc (CUDA), CCE (Cray Compilers)",Very Important,Critical,Not Important,Somewhat important,Not Important,Slightly Important,Very Important,Very Important,Very Important,Critical,Somewhat important,Critical,Somewhat important,Somewhat important,Somewhat important,Very Important,SpackPT - A ChatGPT trained on Slack threads based on Maintainer responses to help with basic questions :),"Yes, I'd like to attend",Yes,"Documentation, Slack, Coworkers, GitHub Issues, GitHub Discussions, Source Code",Weekly,Probably,"Yes, definitely!",Good,Excellent,Good,Excellent,"Installing shared tcl modules for CMake based development on HPC systems based on spack environments. This aids development of our package, and deployment/re-deployment, as well as reproducibility.","I don't know what I would do without Spack? Managing complex codebases with varieties of dependencies seems impossible without this tool, or would involve far too many custom shell scripts.","Concretization and env initialization can take a while. Since we also use custom spack/spack develop as a submodule, CI pipelines can take a while to clone. I think this is a me issue, not a Spack issue.","Compiler support! I hate how compilers are mismanaged and poorly defined by systems, and it would be awesome to regain control, and have easy ways to work around this and install myself.",Compilers ;),I love spack. I can't talk enough about spack. It's the best!,
2/28/2023 1:39:54,Computational Scientist,University HPC/Computing Center,Switzerland,No,No,,C++,HPC / Simulation,Word of mouth,3,"Slack Discussions, GitHub Discussions, Issues",develop,"RHEL 8, Ubuntu 22, Cray XC, Cray EX, Cray XT",100 - 200,3.1,"Spack environments, spack build-env, Custom script or env vars","Environments, Stacks (matrices in environments), build-env (debug a build), Externals in packages.yaml, Concretization preferences in packages.yaml, New `require:` directive in packages.yaml, concretization: --reuse (default), concretization: --fresh (build everything fresh), concretizer:unify:true (concretize together), Git versions, spack load",Yes -- several,Yes,No,"AMD, Intel, RISC-V","NVIDIA Volta, NVIDIA Ampere, AMD MI100, AMD MI200/250X","gcc, NVHPC, LLVM, AMD ROCmCC (amdclang/hipcc), nvcc (CUDA)",Critical,Very Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very Important,Very Important,Somewhat important,Critical,Slightly Important,Slightly Important,Slightly Important,less rebuilding of the same packages over and over again cos hashes are not same,Maybe,Yes,"Slack, Coworkers, GitHub Issues, Source Code",Weekly,Probably not,Probably not,Good,Good,Good,Good,"I develop many packages that depend on each other, it's really hard to benchmark N repos on M branches using spack to coordinate builds. Scripts get complex and spack could be improved to make it better - better build-env and dev setups",dependency management is much easier now than it used to be,developing stuff as mentioned above,fix spack blame packages so that it actually shows you what is wrong instead of just dumping a list of everything without any real context of what the conflict is,"not really, its easy to add them by hand","great job overall. spack makes my life much easier - until it doesn't, then I want to throw myself under a bus trying to work out why it isn't right.",
2/28/2023 12:40:11,Scientist/Researcher,"DOE/Office of Science Lab (e.g., ORNL/ANL/LBL)",United States,Yes,No,,"C, C++, Python, Julia, Rust","HPC / Simulation, AI/ML, Computer Science Research",Presentation,4,"Packages, Core Features, Slack Discussions, Issues",develop,"macOS 12 (Monterey), RHEL 8, CentOS 8, Rocky 8, AlmaLinux 8, Ubuntu 18, Ubuntu 20, Ubuntu 22, Fedora, Windows Subsystem for Linux (WSL), Cray EX","500-1,000","3.8, 3.9, 3.10, 3.11","spack load, Spack environments","Environments, spack containerize, Chaining (upstreams), Public build caches at https://binaries.spack.io, E4S build caches (https://e4s.io), build-env (debug a build), spack external find, Cray PE support (spack external read-cray-manifest), Externals in packages.yaml, Concretization preferences in packages.yaml, Distributed Builds (srun/mpirun spack install), spack develop, concretization: --reuse (default), concretization: --fresh (build everything fresh), Multiple build systems in one package, Variant/flag propagation (++, ~~, ==), New scalable binding link model (config:shared_linking:bind:true), Git versions, spack test, spack load, spackbot (@spackbot fix style; @spackbot rebuild everything, etc.)",Yes -- just one,No,No,"AMD, Intel, IBM Power, ARM","NVIDIA Ampere, AMD MI100, AMD MI200/250X, Intel Xe (Ponte Vecchio)","gcc, Intel OneAPI, NVHPC, LLVM, nvcc (CUDA), CCE (Cray Compilers)",Somewhat important,Very Important,Somewhat important,Very Important,Not Important,Critical,Somewhat important,Critical,Very Important,Very Important,Very Important,Very Important,Critical,Somewhat important,Critical,Critical,"debuginfod for public binaries, splitdebuginfo, package download counts, isolated hermetic builds, better ccache support, network fabric and GPU auto detection, cross compilation+compilers and libc as dependencies ",Maybe,Yes,"Documentation, Slack, Coworkers, GitHub Issues, Source Code",Weekly,Probably not,Probably not,Excellent,Excellent,Good,Excellent,"I use spack to develop, maintain, and share reproducibly a large collection dependent software packages",Cascading variants and git versions,On Polaris spack environment activate takes 100s of seconds. ,"user experience: Improve the story around LLVM (and related packages like the doe, hip, and Julia variants). Building these takes forever which in turn makes using Julia and Rust with spack painful, and the build cache doesn’t help you if your not on Amazon or Ubuntu LTS

Developer experience: tie between build isolation or debug sources

Principle Investigators: package download counts",Binary rust and Julia packages,"Don’t feel like you have to email me, but I’m happy to elaborate. ",
2/28/2023 13:13:51,All of the above,Private Research Lab,United States,No,No,,"Fortran, C, C++, Python, Julia, sh/bash/other shell script, MATLAB, Lua","HPC / Simulation, Statistics / Data Analysis",Word of mouth,1,"GitHub Discussions, Issues, Mailing List",0.18,RHEL 8,200 - 500,3.6,Lmod,"Environments, Module generation",No,No,No,Intel,NVIDIA Ampere,"gcc, Intel Compilers, Intel OneAPI, NVHPC, LLVM, nvcc (CUDA)",Very Important,Very Important,Somewhat important,Slightly Important,Not Important,Somewhat important,Very Important,Critical,Somewhat important,Somewhat important,Somewhat important,Not Important,Somewhat important,Not Important,Not Important,Not Important,Clearer update paths which would not break the whole system,Maybe,Yes,"Documentation, Mailing List, GitHub Issues, Spack telecon",Weekly,Probably,Probably,OK,Excellent,Good,OK,"Install software on an HPC system, with lmod -- pretty vanilla","Install software on an HPC system, with lmod avoiding dependency hell",Understanding what it is doing and letting it understand what I want,"Be more clear about what would it do during an install, and why. And provide intuitive ways to tell it to do something else",,,
2/28/2023 19:04:33,Computational Scientist,University research group,Germany,No,No,,"C, C++, Python",HPC / Simulation,Used at my site,3,"Slack Discussions, Issues",0.19,"CentOS 7, Fedora",10 - 100,"2.7, 3.10",spack load,"Concretization preferences in packages.yaml, New concretizer (clingo), concretization: --reuse (default), Variant/flag propagation (++, ~~, ==), Git versions, spack load",Yes -- just one,No,No,"AMD, Intel","NVIDIA Ampere, NVIDIA Other","gcc, Intel Compilers, Intel OneAPI, NVHPC, LLVM, nvcc (CUDA)",Very Important,Very Important,Somewhat important,Somewhat important,Not Important,Slightly Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Critical,Not Important,Slightly Important,Not Important,Slightly Important,Critical,,No,No,"Documentation, Slack",Yearly,No,"Yes, definitely!",Good,Excellent,Good,Excellent,Maintaining a small research and student cluster for my research group.,The reuse feature allowing to gradually update a single installation without introducing new installations of existing packages.,Failing package builds and unhelpful error messages.,,,,
3/1/2023 0:18:20,Computational Scientist,University HPC/Computing Center,Switzerland,No,No,,"Python, sh/bash/other shell script",HPC / Simulation,Used at my site,2,Packages,"0.19, develop","Ubuntu 20, Ubuntu 22, Cray XC, Cray EX",100 - 200,"3.6, 3.7, 3.8, 3.9, 3.10","Spack environments, Environment Modules (TCL modules), Containers","Environments, Module generation, Stacks (matrices in environments), Build caches (making binary packages), spack-python (Python scripting), Externals in packages.yaml, concretizer:unify:true (concretize together), spack load",Yes -- just one,No,No,"AMD, Intel, ARM","NVIDIA Volta, NVIDIA Ampere","gcc, NVHPC, LLVM, nvcc (CUDA), CCE (Cray Compilers)",Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very Important,Very Important,Somewhat important,Somewhat important,Very Important,Very Important,Very Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,,Maybe,Yes,"Documentation, Slack, GitHub Issues, GitHub Discussions, Source Code",Weekly,Probably not,Probably not,Good,Excellent,Good,Excellent,,,,,,,
3/1/2023 3:32:01,User Support Staff,University HPC/Computing Center,Germany,No,No,,"C, C++","HPC / Simulation, Visualization",Search,0,No,0.19,RHEL 8,10 - 100,3.6,"spack load, Lmod","Module generation, spack load",No,No,No,"AMD, Intel","NVIDIA Volta, NVIDIA Ampere","gcc, Intel Compilers, LLVM, nvcc (CUDA)",Slightly Important,Somewhat important,Very Important,Very Important,Not Important,Slightly Important,Somewhat important,Somewhat important,Slightly Important,Slightly Important,Somewhat important,Not Important,Slightly Important,Slightly Important,Somewhat important,Not Important,,No,No,"Documentation, Google",Weekly,Probably not,Probably not,OK,Good,OK,OK,Per user HPC software installation,Can build packages without hardcoded toolchain (in contrast to EasyBuild),"When Python packages with large dependency lists, conflicting versions of other Python packages will be build, which causes runtime errors.","Have a *runtime* test case for common high-level Python packages, e.g. SciPy.",,,
3/1/2023 7:08:42,DevOps/SRE,University HPC/Computing Center,Switzerland,No,Yes,,"Python, sh/bash/other shell script","HPC / Simulation, High Energy Physics",Tutorial,4,Packages,develop,RHEL 7,"> 1,000",2.7,"spack load, Environment Modules (TCL modules)","Environments, Module generation, Chaining (upstreams), spack ci (GitLab pipeline generation -- yourself, not on our CI), spack external find, Externals in packages.yaml, New concretizer (clingo), spack develop, spack load",Yes -- several,No,No,"AMD, Intel, ARM","NVIDIA Ampere, NVIDIA Hopper","gcc, Intel OneAPI, NVHPC, nvcc (CUDA), CCE (Cray Compilers)",Somewhat important,Very Important,Very Important,Slightly Important,Not Important,Not Important,Not Important,Not Important,Not Important,Very Important,Very Important,Somewhat important,Somewhat important,Very Important,Very Important,Somewhat important,,"Yes, I'd like to attend",Yes,"Documentation, Slack, GitHub Issues, Source Code",Daily,"Yes, definitely!","Yes, definitely!",Good,Good,Good,Good,,,,,,,
3/1/2023 7:51:10,Research Software Engineer (RSE),Other Public Research Lab,France,No,Yes,,"C, C++","HPC / Simulation, Computer Science Research",Used at my site,3,No,0.18,Ubuntu 22,10 - 100,3.6,"spack load, Spack environments","Environments, E4S build caches (https://e4s.io), Multiple build systems in one package, spack load",Yes -- just one,,No,"AMD, ARM","NVIDIA Ampere, NVIDIA Hopper, AMD MI300","LLVM, nvcc (CUDA)",Very Important,Very Important,Somewhat important,Very Important,Very Important,Somewhat important,Slightly Important,Very Important,Very Important,Somewhat important,Very Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,,No,No,"Documentation, Mailing List, Coworkers, GitHub Discussions",Monthly,No,Probably not,Good,Good,OK,Excellent,,,,,,,
3/1/2023 8:26:12,Research Software Engineer (RSE),Private Research Lab,France,No,No,,"C++, Python, Rust, sh/bash/other shell script",HPC / Simulation,Presentation,4,"Packages, Core Features, Documentation, Slack Discussions, Issues","0.18, 0.19","RHEL 7, RHEL 8, CentOS 7, AlmaLinux 8, Ubuntu 22","> 1,000","3.6, 3.7, 3.8, 3.9, 3.10","spack load, Spack environments, Environment Modules (TCL modules), Custom script or env vars","Environments, Module generation, Chaining (upstreams), Stacks (matrices in environments), Mirrors (spack mirror create / air gap support), build-env (debug a build), spack-python (Python scripting), spack external find, Externals in packages.yaml, Concretization preferences in packages.yaml, New `require:` directive in packages.yaml, Distributed Builds (srun/mpirun spack install), New concretizer (clingo), spack develop, concretization: --reuse (default), concretization: --fresh (build everything fresh), concretizer:unify:true (concretize together), Variant/flag propagation (++, ~~, ==), Git versions, spack test, spack load, spack diff (compare two specs), depfile",Yes -- several,Yes,in-house,"AMD, Intel, ARM","NVIDIA Ampere, NVIDIA Hopper, AMD MI200/250X, AMD MI300","gcc, Intel Compilers, Intel OneAPI, NVHPC, LLVM, nvcc (CUDA)",Critical,Somewhat important,Somewhat important,Slightly Important,Not Important,Not Important,Not Important,Slightly Important,Very Important,Somewhat important,Somewhat important,Slightly Important,Critical,Slightly Important,Slightly Important,Somewhat important,,Maybe,Yes,"Documentation, Coworkers, GitHub Issues, GitHub Discussions, spack help, Source Code",Weekly,Probably not,Probably,Excellent,Excellent,OK,Good,"HPC (user) software stacks deployment, Gitlab CI/CD+Spack. Day-to-day HPC sofware dev.","Software stack coherency and so robustness, and deployment automation, with up-to-date softwares.","Complaints from colleagues about how developing with spack is hard is my biggest pain point. External packages, for infra and security reasons (lustre, mpi, openssl etc), can cause a lot of constraints and build failures. Non-isolation of builds: having stuff in /usr has a lot of side effects for a lot of packages. Slow (concretize, but also repo cache/index building, on slow FS).","Better integration of package development in IDEs (vscode, clion, pycharm...) ? Maybe bring back something like `spack setup`, and for python too.",,,
3/1/2023 11:02:01,Grad student who manages 10 node cluster on the side,University research group,United States,Yes,No,,"C++, Python",HPC / Simulation,Word of mouth,1,No,0.17,CentOS 7,10 - 100,3.9,Environment Modules (TCL modules),"Environments, Module generation",No,No,No,Intel,No GPUs,gcc,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Not Important,Not Important,Not Important,Very Important,Critical,Not Important,Very Important,Not Important,Not Important,Not Important,Not Important,Not Important,,Maybe,No,Documentation,Monthly,Probably not,No,Excellent,Excellent,Excellent,Excellent,"Install software on small cluster with 10 nodes, running 10 year old hardware",Saves an enormous amount of time pulling all the right build dependencies,Troublesome to have it use my system's MPI libraries combined libPMI that slurm uses,"I had a lot of trouble getting spack to use the right MPI. I have tried a few times following the documentation without success, so maybe this is worth re-examining. I'm unsure why it won't work on my system--perhaps due to age.",,,
3/1/2023 11:04:46,Scientist/Researcher,"DOE/Office of Science Lab (e.g., ORNL/ANL/LBL)",United States,Yes,No,,"C++, Python","HPC / Simulation, Computer Science Research",Tutorial,2,Issues,"0.19, develop","macOS 11 (Ventura), Ubuntu 22, SLES15, Fedora, Cray EX, CentOS 9, Raspbian",200 - 500,"3.10, 3.11","spack load, Spack environments, Containers","Environments, Module generation, spack containerize, Chaining (upstreams), Stacks (matrices in environments), build-env (debug a build), Externals in packages.yaml, Concretization preferences in packages.yaml, New `require:` directive in packages.yaml, New concretizer (clingo), spack develop, concretization: --reuse (default), concretizer:unify:true (concretize together), Git versions, spack load",Yes -- just one,No,No,"AMD, Intel, IBM Power, ARM","NVIDIA Volta, NVIDIA Ampere, NVIDIA Hopper, AMD MI200/250X, AMD MI300, Intel Xe (Ponte Vecchio)","gcc, Intel OneAPI, NVHPC, LLVM, AMD ROCmCC (amdclang/hipcc), nvcc (CUDA), IBM XL, CCE (Cray Compilers), armclang",Somewhat important,Very Important,Somewhat important,Somewhat important,Not Important,Not Important,Not Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Slightly Important,Somewhat important,Slightly Important,Slightly Important,Not Important,"Better control over unified concretization, more capability for textual substitution in YAML files, ability to avoid redundancies/more generality in external package specifications",No,Yes,"Documentation, GitHub Issues, GitHub Discussions, Source Code",Weekly,Probably,Probably not,OK,OK,OK,OK,"Develop a spack environment with some packages to be used together, concretize them, debug why Spack's concretizer ignored what I thought I specified, build and install them.",Detection and building of dependencies,Spent far more time trying to get Spack to do what I want than actual science with the software I build,"Environment inheritance - would love to be able to define a baseline environment, then derived environments without having to duplicate the environment details.  Also - avoiding having to specify N specs for N external packages when the only thing that's different is the version number.",,,
3/1/2023 11:23:44,Computer Scientist / Scientific Visualization expert,"DOE/Office of Science Lab (e.g., ORNL/ANL/LBL)",United States,Yes,No,,"C, C++, Python","HPC / Simulation, Statistics / Data Analysis, Scientific Visualization",Word of mouth,3,No,develop,openSuSE,10 - 100,3.9,spack load,"Externals in packages.yaml, spack load",No,No,No,Intel,Intel Xe (Ponte Vecchio),"gcc, Intel OneAPI, nvcc (CUDA)",Somewhat important,Critical,Somewhat important,Somewhat important,Not Important,Not Important,Not Important,Critical,Somewhat important,Very Important,Critical,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,,No,No,Coworkers,Monthly,No,No,Good,Good,OK,OK,Testing builds of my ECP Software Technology packages. Deploying production vis packages at ALCF,Ease to build my own packages when new systems are in testing phase,OSMesa (graphics library) fails to build with oneAPI,"no suggestions, I am fine as things are now",no,no,
3/1/2023 12:07:41,System Administrator,University research group,United States,Yes,No,,"C, Python, Perl, sh/bash/other shell script","HPC / Simulation, AI/ML, Computer Science Research, High Energy Physics",Used at my site,5,"Packages, Core Features, Documentation, Slack Discussions, GitHub Discussions, Issues",develop,"macOS 12 (Monterey), RHEL 7, CentOS 7, CentOS 8, Rocky 8, Ubuntu 20, Ubuntu 22, Fedora","> 1,000","3.6, 3.7, 3.8","spack load, Environment Modules (TCL modules)","Environments, Module generation, Chaining (upstreams), spack external find, Externals in packages.yaml, Concretization preferences in packages.yaml, concretizer:unify:when_possible, Multiple build systems in one package, spack test, spack load",Yes -- just one,Yes,,"AMD, Intel, IBM Power, ARM","NVIDIA Volta, NVIDIA Ampere, NVIDIA Hopper, AMD MI100, AMD MI200/250X, AMD MI300, Intel Xe (Ponte Vecchio)","gcc, Intel Compilers, Intel OneAPI, PGI, NVHPC, LLVM, AMD ROCmCC (amdclang/hipcc), nvcc (CUDA)",Slightly Important,Somewhat important,Not Important,Slightly Important,Not Important,Not Important,Not Important,Not Important,Slightly Important,Not Important,Not Important,Not Important,Slightly Important,Somewhat important,Slightly Important,Not Important,,"Yes, I'd like to attend",No,"Documentation, Slack, Mailing List, GitHub Issues, GitHub Discussions, Source Code",Monthly,No,Probably not,Good,Good,Good,Good,Building software for a facility and for software testing.,Time saved,None,Better spack test environment,No,No,
3/1/2023 12:08:02,Scientist/Researcher,"DOE/NNSA Lab (e.g., LLNL/LANL/SNL)",United States,No,No,,"C++, Python","HPC / Simulation, AI/ML",Used at my site,4,"No, Slack Discussions",No idea,RHEL 7,1 - 10,3.8,Custom script or env vars,spack develop,Yes -- several,Yes,App specific front end,Intel,No GPUs,"gcc, Intel Compilers",Critical,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Critical,Not Important,Not Important,Not Important,Critical,Not Important,Not Important,Not Important,A rethink of how spack develop works to feel less like an afterthought.,No,No,"Slack, Coworkers",Never,No,No,Horrible,OK,Horrible,Horrible,"Run spack for our app. Watch it fail.  Email local expert.  Debug with him live.  Watch it work for two weeks until something in the app or wrapper changes.  Lather, rinse, repeat.",Not much,You can never find where spack puts stuff.  And it moves things when you update spack.,Add better support for controlling build locations and actually test that functionality.,We do not use spack-provided packages.,,
3/1/2023 12:39:56,Research Software Engineer (RSE),Company,United States,Yes,No,Kitware,"C, C++, Python, R, sh/bash/other shell script","HPC / Simulation, Statistics / Data Analysis, Compiler Testing, Visualization",Word of mouth,3,"Packages, Slack Discussions, GitHub Discussions, Issues","0.17, 0.18","RHEL 7, RHEL 8, CentOS 7, CentOS 8, AlmaLinux 8, Ubuntu 18, Ubuntu 20, Ubuntu 22, openSuSE","> 1,000","3.7, 3.8","spack load, Spack environments, spack view","Environments, Build caches (making binary packages), Public build caches at https://binaries.spack.io, E4S build caches (https://e4s.io), spack external find, Externals in packages.yaml, concretization: --reuse (default), concretization: --fresh (build everything fresh), concretizer:unify:true (concretize together), spack test",No,No,No,"AMD, Intel, IBM Power","NVIDIA Volta, NVIDIA Ampere, AMD MI100, AMD MI200/250X","gcc, Intel Compilers, Intel OneAPI, PGI, LLVM, AMD ROCmCC (amdclang/hipcc), nvcc (CUDA), CCE (Cray Compilers)",Somewhat important,Slightly Important,Slightly Important,Somewhat important,Not Important,Critical,Critical,Somewhat important,Critical,Somewhat important,Very Important,Very Important,Very Important,Very Important,Critical,Very Important,,Maybe,No,"Documentation, Slack, Coworkers, spack help, Source Code",Monthly,Probably,"Yes, definitely!",Excellent,Excellent,Excellent,Excellent,,,,,,,
3/1/2023 13:56:08,Computational Scientist,"DOE/Office of Science Lab (e.g., ORNL/ANL/LBL)",United States,Yes,No,ExaSGD,"Fortran, C, C++, Python",HPC / Simulation,Word of mouth,3,"GitHub Discussions, Issues","0.16, 0.17, 0.18, 0.19, custom fork","macOS 11 (Big Sur), RHEL 8",10 - 100,3.11,"Spack environments, Lmod","Environments, Module generation",No,No,No,"AMD, Intel, IBM Power","NVIDIA Volta, NVIDIA Ampere, NVIDIA Hopper, AMD MI100, AMD MI200/250X","gcc, LLVM, AMD ROCmCC (amdclang/hipcc), nvcc (CUDA), CCE (Cray Compilers)",Somewhat important,Very Important,Very Important,Somewhat important,Slightly Important,Somewhat important,Very Important,Very Important,Somewhat important,Very Important,Very Important,Critical,Very Important,Very Important,Very Important,Very Important,,"Yes, I'd like to attend",No,"Documentation, Coworkers, GitHub Discussions",Weekly,Probably not,"Yes, definitely!",OK,OK,OK,OK,,,,,,,
