Timestamp,What kind of user are you?,Where do you work?,What country are you in?,Are you part of the U.S. Exascale Computing Project (ECP)?,What languages do you primarily program in?,What are your primary application areas?,How did you find out about Spack?,How long have you been using Spack?,Have you contributed to Spack?,What version(s) of Spack do you use?,What OS do you use Spack on?,How many software installations have you done with Spack in the past year?,What Python version(s) do you use to run Spack?,How bad would it be if Spack dropped support for Python 2?,How do you get installed Spack packages into your environment?,Which of the following Spack features do you use?,Do you have local Spack package repositories?,Do you have any local modifications to Spack itself?,Which processors do you expect to use with Spack in the next year?,Which GPUs do you expect to use with Spack in the next year?,Which compilers do you expect to use with Spack in the next year?,Rank these TBD Spack features by importance [Better error messages],Rank these TBD Spack features by importance [Compilers as proper dependencies],"Rank these TBD Spack features by importance [Separate concretization of build dependencies (build build tools with gcc/clang, not fancy compilers)]","Rank these TBD Spack features by importance [Optimized, public binary packages]",Rank these TBD Spack features by importance [Build testing for every PR],"Rank these TBD Spack features by importance [Language virtual dependencies (e.g., depends_on(""cxx@2017:""))]",Rank these TBD Spack features by importance [Testing / integration with Pavilion2/ReFrame/other test tool],Rank these TBD Spack features by importance [Better compiler flag handling],Rank these TBD Spack features by importance [Windows Support],Rank these TBD Spack features by importance [Autodetection of system packages],Rank these TBD Spack features by importance [Performance/speed improvements],Rank these TBD Spack features by importance [More reproducibility for environments],Rank these TBD Spack features by importance [Better GPU compiler support],Rank these TBD Spack features by importance [Generate GitHub Actions pipelines + build caches],Rank these TBD Spack features by importance [More developer features],What features NOT in the prior list would you like to see?,"If we had a (virtual) Spack user meeting, would you attend? ",Have you done a Spack Tutorial?,How do you get help with Spack when you need it?,How often do you consult the Spack documentation?,"If there were commercial support for Spack, would you or your organization buy it?",If there were a software foundation (ala Linux Foundation or CNCF) around Spack would it make you more likely to use/recommend Spack?,How would you rate the overall quality of ... [Spack documentation],How would you rate the overall quality of ... [Spack community],How would you rate the overall quality of ... [Spack packages],How would you rate the overall quality of ... [Spack],Tell us briefly about your use case and your usual Spack workflow.,What about Spack has helped you the most in the past year?,What are the biggest pain points in Spack for your workflow? (feel free to link to issues),What's the biggest thing we could do to improve Spack over the next year?,Are there key packages you'd like to see in Spack that are not included yet?,Do you have any other comments for us?,
12/16/2021 2:47:23,Computational Scientist,University research group,Australia,No,"C++, Python",Traditional HPC / Simulation,Twitter,3,"Core Features, Slack Discussions, Issues",develop,"macOS, CentOS 8, Ubuntu 20, Windows Subsystem for Linux (WSL)",10 - 100,"3.6, 3.7, 3.8, 3.9",Do it!,spack load,"Build caches (binary packages), build-env (debug a build), spack external find, Externals in packages.yaml, New concretizer (clingo), spack develop",No,Yes,"AMD, Intel","NVIDIA Volta, NVIDIA Ampere, AMD MI200","gcc, Intel Compilers, Intel OneAPI / dpc++, NVHPC (new NVIDIA PGI compilers), LLVM, AMD ROCmCC / hipcc, nvcc (CUDA)",Critical,Critical,Very Important,Somewhat important,Somewhat important,Somewhat important,Not Important,Very Important,Not Important,Very Important,Very Important,Very Important,Critical,Very Important,Very Important,,"Yes, I'd attend",No,"Documentation, Slack, GitHub, Source Code",Weekly,Probably not,"Yes, definitely!",Good,OK,OK,Good,,,File copying on Lustre is still broken! [https://github.com/spack/spack/pull/27247],,,,
12/16/2021 3:00:35,DevOps/SRE,University HPC/Computing Center,Saudi Arabia,No,"Python, sh/bash/other shell script","Traditional HPC / Simulation, AI/ML, Computer Science Research, Bioinformatics",Used at my site,5,Packages,"0.16, 0.17","Ubuntu 16, Ubuntu 18",200 - 500,"3.6, 3.9",Do it!,Environment Modules (TCL modules),"Environments, Module generation, Externals in packages.yaml, spack install --reuse",Yes -- just one,My site has a front-end or extension to Spack,"AMD, Intel",NVIDIA Ampere,gcc,Very Important,Somewhat important,Somewhat important,Very Important,Very Important,Very Important,Not Important,Slightly Important,Not Important,Very Important,Very Important,Very Important,Somewhat important,Slightly Important,Slightly Important,,"Yes, I'd attend",Yes,"Documentation, Slack, Coworkers, spack help, Source Code",Monthly,Probably not,No,Good,OK,OK,Good,,,,,,,
12/16/2021 3:31:09,User Support Staff,Other Public Research Lab,Japan,No,"C, C++",Traditional HPC / Simulation,Used at my site,2,No,"0.16, 0.17","RHEL 8, CentOS 8",10 - 100,3.6,Do it!,spack load,"Chaining (upstreams), Externals in packages.yaml, spack load",No,No,ARM,NVIDIA Ampere,"gcc, LLVM, Fujitsu Compilers",Very Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very Important,Not Important,Somewhat important,Somewhat important,Somewhat important,Not Important,Somewhat important,Somewhat important,,Maybe,No,"Documentation, Coworkers, GitHub",Weekly,Probably,Probably,Bad,OK,OK,OK,"Try to install something, get error, try to fix it.",When the latest gcc and llvm have got installed without an error.,"Practical information could be found in the github issue, but not from the official document.",Centralized support contact. (Should we ask in Slack or github issue?),,,
12/16/2021 3:46:58,Research Software Engineer (RSE),"DOE/NNSA Lab (e.g., LLNL/LANL/SNL)",United States,Yes,"Python, Go, sh/bash/other shell script",Software development and research ,Used at my site,0,"Packages, Core Features, Documentation, Slack Discussions, GitHub Discussions, Issues, Tools/integrations","develop, custom fork",Ubuntu 20,1 - 10,"3.8, 3.9",Do it!,Containers,"spack containerize, spack-python (Python scripting)",No,Yes,AMD,NVIDIA T4,gcc,Very Important,Somewhat important,Somewhat important,Critical,Very Important,Not Important,Not Important,Slightly Important,Not Important,Slightly Important,Not Important,Slightly Important,Slightly Important,Somewhat important,Somewhat important,Package testing,Maybe,No,"Documentation, Slack, GitHub, Source Code",Monthly,Probably not,Probably not,Bad,OK,Bad,Bad,spack install,Research tool,It’s slow and packages don’t reliably build,Package building testing / build guarantee ,No,,
12/16/2021 4:07:43,Software Developer,Company,Germany,No,"C, C++, Rust","AI/ML, Visualization, Embedded Systems, Automotive",Podcast,0,No,develop,"macOS, CentOS 8, Ubuntu 20, Fedora, Windows Subsystem for Linux (WSL), Windows",1 - 10,3.1,Do it!,Spack environments,,No,No,"AMD, Intel, ARM","NVIDIA Other, Intel Xe (Ponte Vecchio)","gcc, Intel OneAPI / dpc++, NVHPC (new NVIDIA PGI compilers), LLVM, nvcc (CUDA)",Very Important,Critical,Critical,Critical,Very Important,Somewhat important,Not Important,Critical,Critical,Somewhat important,Critical,Critical,Critical,Very Important,Very Important,,"Yes, I'd attend",No,"Documentation, Source Code",Daily,"Yes, definitely!","Yes, definitely!",OK,OK,Good,Excellent,,,,,"Casadi, OMPL",,
12/16/2021 4:52:54,Research Software Engineer (RSE),University HPC/Computing Center,Sweden,No,"C++, Python","Traditional HPC / Simulation, AI/ML",Twitter,0,"Packages, GitHub Discussions",0.17,"Ubuntu 16, Ubuntu 20",100 - 200,"3.6, 3.7, 3.8, 3.9",Do it!,"spack load, Environment Modules (TCL modules)","Module generation, spack external find, spack load, spack diff (compare two specs)",No,No,"AMD, Intel, ARM","NVIDIA Ampere, AMD MI200, Intel Xe (Ponte Vecchio)","gcc, Intel OneAPI / dpc++, NVHPC (new NVIDIA PGI compilers), LLVM, AMD ROCmCC / hipcc, nvcc (CUDA), CCE (Cray Compilers), armclang",Slightly Important,Somewhat important,Very Important,Somewhat important,Slightly Important,Slightly Important,Somewhat important,Slightly Important,Slightly Important,Very Important,Slightly Important,Not Important,Somewhat important,Slightly Important,Not Important,,Maybe,No,"Documentation, GitHub, spack help, Source Code",Monthly,Probably not,Probably not,Excellent,Good,Excellent,Excellent,Test build and run of my package with many versions of its dependencies,Automatic download and build of dependency stacks,Disk space usage when I have file system limits and no sysadmin support on vendor test systems.,Find and use more system packages to have smaller installation footprints. ,hipSYCL,,
12/16/2021 5:28:06,Scientist/Researcher,University research group,United States,Yes,"C, C++",Traditional HPC / Simulation,Word of mouth,3,"Packages, Slack Discussions",develop,"RHEL 7, RHEL 8, Arch",10 - 100,3.7,I'd live (I can provide Python 3 somehow),Lmod,"Environments, Module generation, Stacks (matrices in environments), Build caches (binary packages), build-env (debug a build), spack external find, Externals in packages.yaml, Concretization preferences in packages.yaml, New concretizer (clingo), spack develop, spack test",No,No,"AMD, Intel, IBM Power","NVIDIA Ampere, NVIDIA Other, AMD MI200, Intel Xe (Ponte Vecchio)","gcc, Intel OneAPI / dpc++, NVHPC (new NVIDIA PGI compilers), LLVM, AMD ROCmCC / hipcc, nvcc (CUDA), IBM XL",Very Important,Critical,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Not Important,Slightly Important,Not Important,Somewhat important,Somewhat important,Very Important,Critical,Slightly Important,Very Important,,"Yes, I'd attend",Yes,"Documentation, Slack, GitHub",Monthly,No,Probably,Good,Excellent,Good,Good,"install spack, find system compilers, use spack env+stacks to install the common packages our group uses",installing common packages for the group,errors that don't indicate where the problem is and prevent (un/re)installing packages into an environment/spack install,support for gpus - I have not tried installing cuda enabled packages yet...,all the ones I use but haven't added yet :),thank you,
12/16/2021 5:32:42,Software Developer,"DOE/Office of Science Lab (e.g., ORNL/ANL/LBL)",United States,No,C++,High Energy Physics,Word of mouth,5,"Packages, Core Features, Slack Discussions, GitHub Discussions","0.17, develop",RHEL 7,"500-1,000",3.6,Do it!,"Spack environments, UPS","Environments, Chaining (upstreams), Build caches (binary packages), spack external find, New concretizer (clingo)",Yes -- several,My site has a front-end or extension to Spack,"AMD, Intel",NVIDIA T4,gcc,Somewhat important,Very Important,Very Important,Somewhat important,Somewhat important,Very Important,Slightly Important,Somewhat important,Slightly Important,Very Important,Very Important,Very Important,Slightly Important,Slightly Important,Very Important,,Maybe,No,"Documentation, Slack, Source Code",Monthly,Probably not,Probably,Good,Good,Good,Good,,Building ROOT on Cori and Theta with system compilers.,,,No,Great progress,
12/16/2021 5:37:43,Scientist/Researcher,"DOE/Office of Science Lab (e.g., ORNL/ANL/LBL)",United States,No,C++,High Energy Physics,Presentation,0,No,0.17,Ubuntu 18,10 - 100,3.7,Do it!,"spack load, Spack environments, spack view","Environments, spack load",Yes -- several,Yes,Intel,NVIDIA Other,"gcc, Intel Compilers, Intel OneAPI / dpc++, AMD ROCmCC / hipcc, nvcc (CUDA)",Very Important,Somewhat important,Very Important,Somewhat important,Somewhat important,Slightly Important,Slightly Important,Critical,Not Important,Somewhat important,Somewhat important,Critical,Very Important,Slightly Important,Slightly Important,,Maybe,No,"Documentation, Slack",Weekly,Probably not,Probably not,Good,Good,Good,Good,,,,,,,
12/16/2021 6:03:15,Scientist/Researcher,University research group,Germany,No,"C, Python","Traditional HPC / Simulation, Computer Science Research",Word of mouth,3,Packages,develop,"CentOS 7, Fedora",10 - 100,"3.7, 3.8, 3.9, 3.10",Do it!,"spack load, Spack environments","Environments, spack containerize, spack external find, Externals in packages.yaml, Concretization preferences in packages.yaml, spack load",Yes -- several,No,"AMD, Intel, ARM",NVIDIA Other,"gcc, Intel Compilers, Intel OneAPI / dpc++, LLVM",Very Important,Very Important,Not Important,Slightly Important,Somewhat important,Somewhat important,Not Important,Very Important,Not Important,Very Important,Critical,Critical,Very Important,Somewhat important,Somewhat important,,"Yes, I'd attend",Yes,"Documentation, Slack, GitHub, Source Code",Monthly,Probably not,Probably not,Good,Excellent,Good,Good,,,,,,,
12/16/2021 6:20:16,System Administrator,University HPC/Computing Center,United States,No,"Perl, sh/bash/other shell script","Traditional HPC / Simulation, AI/ML, Bioinformatics, High Energy Physics",Birds-of-a-feather (BOF) at conference,2,"Packages, Documentation, Issues","0.16, 0.17","RHEL 7, RHEL 8","> 1,000","3.6, 3.7",Do it!,Environment Modules (TCL modules),"Environments, Chaining (upstreams), spack-python (Python scripting), Externals in packages.yaml, Concretization preferences in packages.yaml, New concretizer (clingo)",Yes -- just one,No,"AMD, Intel","NVIDIA Volta, NVIDIA Ampere, NVIDIA Other","gcc, Intel Compilers, Intel OneAPI / dpc++, NVHPC (new NVIDIA PGI compilers), AMD ROCmCC / hipcc, nvcc (CUDA)",Very Important,Slightly Important,Slightly Important,Slightly Important,Not Important,Slightly Important,Not Important,Somewhat important,Not Important,Not Important,Slightly Important,Very Important,Slightly Important,Not Important,Slightly Important,,"Yes, I'd attend",Yes,"Documentation, Mailing List, Source Code",Monthly,Probably not,No,Good,Good,Good,Good,"We build a standard SW library for our HPC users.  For each support compiler/toolchain, we have one or more environments specifying packages/versions/variants for that toolchain.  We use homegrown wrapper scripts to try to prevent duplication of packages w/in environment, and other scripts to generate hierarchical Tcl env modulefiles from spack packages.  ",Leveraging the community support (via pakcage.py) for SW installations,"New clingo concretizer is not always honoring package.yaml concretization preferences, even when they are ""legal"".  E.g. package.yaml says pkg foo should have +bar variant, but spack solve foo, etc insists on foo~bar (but spack solve foo+bar works w/out errors/warnings/etc and as far as I can see the same values in Optimization criteria summary).  I see similar issues with versions (e.g. have python@3.7.7 built, trying to add a python package to it but spack tries to add to python@3.8 unless I explicitly give python@3.7.7 as dependency on command line).  (I have not opened an issue yet, but hope to do so w/in week or so)","Improve diagnostics re concretizer choices (or if already in solve --show all, documentation on how to read/use).",,,
