Timestamp,What kind of user are you?,Where do you work?,What country are you in?,What languages do you primarily program in?,What are your primary application areas?,How did you find out about Spack?,How long have you been using Spack?,Have you contributed to Spack?,What version(s) of Spack do you use?,What OS do you use Spack on?,How many package installations have you done with Spack in the past year?,What Python version(s) do you use to run Spack?,How do you get installed Spack packages into your environment?,Which of the following Spack features do you use? (details at https://github.com/spack/spack/releases),Do you have your own local Spack package repositories?,Do you have any local modifications to Spack itself?,Do you use any third-party tools/front-ends to do development with Spack?,Which processors do you expect to use with Spack in the next year?,Which GPUs / Accelerators do you expect to use with Spack in the next year?,Which compilers do you expect to use with Spack in the next year?,Rank these TBD Spack features by importance [Better error messages],Rank these TBD Spack features by importance [Testing / integration with Pavilion2/ReFrame/other test tool],Rank these TBD Spack features by importance [More packages in public build caches],Rank these TBD Spack features by importance [Better organized/publicized public build caches],Rank these TBD Spack features by importance [Better compiler flag handling],Rank these TBD Spack features by importance [Performance/speed improvements],Rank these TBD Spack features by importance [Better autodetection of system packages],Rank these TBD Spack features by importance [Better GPU compiler support],Rank these TBD Spack features by importance [Generate GitHub Actions pipelines + build caches],Rank these TBD Spack features by importance [More developer features],Rank these TBD Spack features by importance [Improvements for `spack test`],Rank these TBD Spack features by importance [Better CI Stability / faster PR turnaround],Rank these TBD Spack features by importance [SpackOS/support for custom libc],Rank these TBD Spack features by importance [Cross-compilation],Rank these TBD Spack features by importance [More build parallelism],Rank these TBD Spack features by importance [Separate the builtin repo from core],What features NOT in the prior list would you like to see (tell us your wish list)?,Has Spack's transition into Linux Foundation / HPSF given you more confidence in the project?,"Will you be attending the Spack User Meeting at HPSFCon, May 5-8?",Have you attended a Spack Tutorial?,How do you get help with Spack when you need it?,How often do you consult the Spack documentation?,"If there were commercial support for Spack, would you or your organization buy it?",How would you rate the overall quality of ... [Spack documentation],How would you rate the overall quality of ... [Spack community],How would you rate the overall quality of ... [Spack packages],How would you rate the overall quality of ... [Spack],"What is the most recent thing you did with Spack, anywhere from installing a package to modifying the core functionality?",Tell us briefly about your use case and your usual Spack workflow.,What about Spack has helped you the most in the past year?,What are the biggest pain points in Spack for your workflow? (feel free to link to issues),What's the biggest thing we could do to improve Spack over the next year?,Are there key packages you'd like to see in Spack that are not included yet?,Do you have any other comments for us?,"If you're interested in being contacted about your response, please leave us your email.",,,,,,
4/9/2025 11:54:56,Software Developer,"DOE/Office of Science Lab (e.g., ORNL/ANL/LBL)",United States,"C, C++, Python, Perl, sh/bash/other shell script, Javascript",High Energy Physics,Word of mouth,10,"Packages, Core Features, Documentation, Slack Discussions","0.21, 0.22, 0.23, 1.0.0-alpha* pre-releases, develop (1.0.0dev0)",AlmaLinux 9,"500-1,000",3.12,"spack load, Spack environments","Environments, Chaining (upstreams), Mirrors (spack mirror create / air gap support), Build caches (making binary packages), build-env (debug a build), spack external find, Externals in packages.yaml, Concretization preferences in packages.yaml, `require:` directive in packages.yaml, concretization: --reuse (default), concretization: --fresh (build everything fresh), concretizer:unify:true (concretize together), concretizer:unify:when_possible, Git versions, spack load, include_concrete",Yes -- several,My site has a front-end or extension to Spack,SpackDev (https://github.com/FNALssi/spack-dev),"AMD, Intel",No GPUs,gcc,Critical,Somewhat important,Slightly Important,Slightly Important,Very Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,,Yes,Maybe,Yes,"Documentation, Slack, Coworkers, GitHub Issues, GitHub Discussions, Source Code",Monthly,Probably not,Excellent,Excellent,Excellent,Excellent,Build a package.,,,,,,,,,,,,,
4/9/2025 13:13:20,System Administrator,Private Research Lab,United States,"Fortran, C, C++, Python, Julia, Rust, sh/bash/other shell script","HPC / Simulation, System Administration, Quantum",Used at my site,4,"Packages, Slack Discussions, GitHub Discussions, Issues","0.23, custom fork, 0.23.1","RHEL 8, RHEL9","> 1,000","3.6, 3.13",Lmod,"Environments, Module generation, Mirrors (spack mirror create / air gap support), Build caches (making binary packages), Weekly develop snapshots on cache.spack.io, Public build caches at cache.spack.io / binaries.spack.io, build-env (debug a build), `require:` directive in packages.yaml, `prefer:` directive in packages.yaml, concretization: --reuse (default), concretization: --fresh (build everything fresh), concretizer:unify:true (concretize together), concretizer:unify:when_possible, Variant/flag propagation (++, ~~, ==), Git versions, spack load, spack diff (compare two specs), spack deconcretize",No,No,No,"AMD, Intel",NVIDIA Ampere,"gcc, Intel OneAPI, LLVM, nvcc (CUDA)",Critical,Slightly Important,Somewhat important,Somewhat important,Very Important,Critical,Slightly Important,Somewhat important,Not Important,Not Important,Somewhat important,Somewhat important,Somewhat important,Slightly Important,Slightly Important,Critical,"1) an option to get a clear explanation of why some dependences where pulled with the selected variants vs other options, rather than have to second guess the reasons; 2) a clear way to understand in what spec /hash1 and /hash2 differ, despite the first line of the human-readable spec (e.g. cmake@3.30.5%gcc@8.5.0~doc+ncurses+ownlibs~qtgui build_system=generic build_type=Release patches=dbc3892 arch=linux-rhel8-icelake) look identical; 3) a better way to build reusable lmod modules, rather than ""throw-away"" one (see more about it in a subsequent free-text field)",Yes,No,Yes,"Documentation, Slack, GitHub Issues, Source Code, Weekly Telecons",Daily,Probably,OK,Good,Good,Good,I install spack packages almost every day,"- I check if there is a new version of spack compared to the last one I used. If not, skip to the next point. If so, without touching any previously installed version of spack, I make a fresh install of spack (with a modified ""share/spack/setup-env.sh"" so that each version uses a different USER_CONFIG and CACHE). I do all the necessary set up for compilers, externals, caches, etc.
- I source ""share/spack/setup-env.sh"" to activate the most recent version of spack I have installed
- I decide a number of packages that are needed for a particular use case (typically a request by a user)
- I create a spack environment (or modify an existing one as appropriate) with said package(s), with the variants I need
- I spend more time than I wish to make sure that the packages at the previous bullet point pull in the appropriate dependencies and not unnecessary ones (or ones slightly different than what is already installed) and that spack does not refuses to install for some (typically hard to understand) incompatibility between requirements
- I run spack install, which usually fails (typically not spack's fault, but packages issue, yet spack could help more here)
- I then generate lmod modules and (with extreme pain) I compare those versions with previously installed ones
- I greatly modify said modules and move them from spack-specific location, to cluster-global one in the appropriate module tree


All of this would be *greatly* simplified if the features I requested in the free-field ""features NOT in the prior list would you like to see"" on page 3.","Despite all the pain points that I described in this survey, if I had to install thousands of packages by hand (and by hand tracking their interdependencies) I would probably not have been able to accomplish anything else, so that is working great.","They are the same that I specified in the free-field ""features NOT in the prior list would you like to see"" on page 3. Of these, the one that is the most painful (because I need to do it over-and-over) and probably easier to fix (because it's just how the module is created out of a template) is the namely generate modules in a more re-usable way. To explain that better, I don't advertise spack to my users, who use it only via loading lmod modules which inject spack-built software in their environment. Mostly because of new packages (or new versions of old packages), I feel I have to continuously install new versions of spack, which I do as described above. Then I generate modules, and I want them to be neatly organized with the ones generated by earlier versions of spack, so I can't simply point global lmod to spack-specific lmod directories, otherwise they will be sorted in a very messy way (i.e. by which version of spack they were built with, rather than what they are and where they should live in the compiler/mpi hierarchy). 

I cannot simply move the generated modules, at the very least because of the MODULEPATH changes, but also because I am paranoid and I want to inspect what I am doing beforehand. The fact that all the PATHs in the module are hardcoded, absolute ones make this task very hard. If spack could generate modules with a ""basepath"" pointing to the base installation PATH, and then all the append/prepend/setenv would do a pathJoin of such basepath plus the appropriate bin/lib/include etc, all this process would be greatly simplified. 

Now, separating packages from core spack will probably reduce the pressure on updating so often, so maybe that's an orthogonal way to ease this pain point.",I guess I expresses that already enough in the other fields.,"It's extremely rare than I encounter something missing, and they are typically obscure ones, not ""key"" ones","Earlier in my career (around the same time when spack was born) I started writing something similar to spack (and easy_build). I guess we were all having the same problem and finding our own solutions. My code served well the institution I was working at the time, but I failed to nurture it enough, advertising it etc, so we eventually outgrew it because by myself I could not improve it fast enough to keep up with our growing needs. At that point, we started using spack. It was a very steep learning curve, but I'm glad to have taken it, because spack has really reached a tipping point that is now an essential part of my job, almost as important as having an operating system or a scheduler: I can't think how we could daily use the cluster without it (like if we didn't have a OS or Slurm: sure we could go through many pains and still work, but oh boy!). It's easy to get lost in the discussions of ""this thing in spack doesn't work as I wish/need"" and missing the ""everything else works just great"". So a big THANK YOU for everything in spack that DOES work well, which is plenty!",,,,,,,
4/9/2025 13:31:04,Scientist/Researcher,University research group,United States,"C, C++, Python, R, sh/bash/other shell script","HPC / Simulation, Statistics / Data Analysis, Bioinformatics, Visualization, User Support, System Administration",Word of mouth,8,"Packages, Documentation, Slack Discussions, Issues, Spack User Meeting Talk, Spack Community Zoom Meetings","0.23, develop (1.0.0dev0)","macOS 15 (Sequoia), RHEL 6, RHEL 7, RHEL 8, Rocky 8, Ubuntu 18, Ubuntu 24, Debian 10, Debian 11, Gentoo",100 - 200,"3.9, 3.11","spack load, Spack environments, spack view","Environments, spack external find, Externals in packages.yaml, Distributed Builds (srun/mpirun spack install), spack develop, Variant/flag propagation (++, ~~, ==), Git versions, spack test, spack load",Yes -- just one,No,No,"AMD, Intel, ARM","NVIDIA Other, Intel Xe (Ponte Vecchio)","gcc, LLVM, armclang",Critical,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Very Important,Very Important,Slightly Important,Slightly Important,Somewhat important,Very Important,Very Important,Not Important,Somewhat important,Very Important,Slightly Important,"Suggestions paired with error messages. Sort of like ubuntu will tell you what package to install if an executable does not exist, it would be nice if spack told you if a speck was ambiguous what available options would make the spec non-ambiguous (assuming there are not 100 options)",Not sure,"Yes, I'm presenting!",No,"Documentation, Slack, GitHub Issues, spack help, Source Code, Weekly Telecons",Monthly,Probably not,Good,Excellent,Excellent,Excellent,"I had to support my old research lab server with a spack error caused from some of the breaking changes in the upcoming spack 1.0 release; the server has a CRON job that pulls from the git develop branch at midnight, so for now I've switched to the 0.23 (0.23.1?) tag and had to downgrade the spack DB version by renaming the old and rebuilding the DB. So now at least they're back up and running as before.","Usual spack workflow is first to create an spack environement. For a particular SLURM job I broadly have different environments for different workflows. I also always have a ""login"" environment I setup on every cluster I work on to have the latest emacs, tmux, stow, etc. Otherwise when I'm helping users I create a branch for their PR or issue and play around with that to see the GitHub issue through.","I was able to install a package that required about 250 other packages - I had to add that package to spack. Previously, I did that using a singularity container. But spack is more sustainable from a software development, OS portability perspective, and simplicity of use perspective.",I think the package review process could have specific automated checks to not rely as much on manual review. It seems like there is a lot of esoteric knowledge tied up. A friend of mine in CS says the best code review is from automated tools but of course it takes a lot of work to set those up.,"Some sort of training course for HPC sysadmins? Also like other large community projects, a better explanation of what peoples roles are, the teams they are on, their responsibilities, how to join those teams, where those teams communicate, ways to help out with the project.",I haven't had trouble adding any packages I've needed. Usually problems are from poorly written software that would give any packager a headache.,"On a previous spack survey my comment ended up appearing on one of the spack highlight  pages that ""spack makes me enjoy coming into work everyday"". I am longer an HPC sysadmin who uses spack that consistently, but it's still one of my favorite projects and communities.",,,,,,,
4/9/2025 15:40:01,Computational Scientist,"DOE/NNSA Lab (e.g., LLNL/LANL/SNL)",United States,"C, Python","HPC / Simulation, DevOps",Used at my site,1,Packages,develop (1.0.0dev0),"macOS 15 (Sequoia), Debian 12, Cray EX",10 - 100,"3.9, 3.10","spack load, Spack environments","Environments, Externals in packages.yaml, Concretization preferences in packages.yaml",Yes -- just one,No,No,"AMD, Intel, ARM",No GPUs,"gcc, armclang",Critical,Not Important,Slightly Important,Slightly Important,Slightly Important,Critical,Somewhat important,Slightly Important,Not Important,Slightly Important,Not Important,Very Important,Not Important,Not Important,Not Important,Not Important,,Not sure,"Yes, I'm presenting!",Yes,"Documentation, Slack, Coworkers",Monthly,Probably,Good,Excellent,Good,Good,Created a Spack package,Created Spack package for BEE project at LANL,It has been extremely useful being able to install our on-prem application with Spack,Error messages are not helpful/obvious for first-time users.,Improve error message style/format.,NA,NA,,,,,,,
4/9/2025 18:50:00,HPC User / Analyst,"DOE/Office of Science Lab (e.g., ORNL/ANL/LBL)",United States,"Fortran, C, Python, Go, Perl, sh/bash/other shell script, Ruby, Lua, PHP","HPC / Simulation, Statistics / Data Analysis, AI/ML, Computer Science, High Energy Physics, Compiler Testing, Visualization, User Support, System Administration, DevOps",Used at my site,2,"Documentation, Slack Discussions, GitHub Discussions, Issues, Spack Community Zoom Meetings",develop (1.0.0dev0),"SLES15, Cray EX","500-1,000","3.10, 3.11, 3.12, 3.13","spack load, Spack environments, Lmod, spack view, Containers","Environments, Module generation, spack containerize, Chaining (upstreams), Stacks (matrices in environments), Mirrors (spack mirror create / air gap support), Build caches (making binary packages), OCI build caches (pushing packages to container registries), Public build caches at cache.spack.io / binaries.spack.io, E4S build caches (https://e4s.io), spack ci (GitLab pipeline generation -- yourself, not on our CI), spack-python (Python scripting), spack external find, Externals in packages.yaml, Concretization preferences in packages.yaml, spack develop, concretization: --reuse (default), concretizer:unify:true (concretize together), concretizer:unify:when_possible, Variant/flag propagation (++, ~~, ==), Git versions, spack test, spack load, E4S containers (https://e4s.io)",Yes -- just one,Yes,"No, but I'm planning on some helpers to automate some spack processes",AMD,NVIDIA Ampere,"gcc, Intel OneAPI, NVHPC, LLVM, nvcc (CUDA), CCE (Cray Compilers)",Critical,Critical,Not Important,Not Important,Critical,Somewhat important,Critical,Somewhat important,Slightly Important,Slightly Important,Very Important,Slightly Important,Not Important,Not Important,Slightly Important,Slightly Important,Verify packages in the packages.yaml actually exist,No,No,Yes,"Documentation, Slack, GitHub Issues, Source Code",Daily,Probably,Excellent,Good,Good,Excellent,Opened issue 50k ;),spack info ; spack spec ; add some externals ; spack install. Apply to a env or view as needed.,Building a climate stack for a number of climate users,"Finding packages to be externals that spack cannot find automatically (checking against rpms, names not the same, etc)",Anything that uses a GUI is a pain to build because most of the externals are not findable,Not that I know of,"Keep up the great work, thanks so much",,,,,,,
4/9/2025 19:50:51,DevOps/SRE,"DOE/NNSA Lab (e.g., LLNL/LANL/SNL)",United States,"C++, Python","HPC / Simulation, DevOps",Word of mouth,7,"Packages, Core Features, Documentation, Slack Discussions, GitHub Discussions, Issues, Tools/integrations, Spack User Meeting Talk","0.23, develop (1.0.0dev0)","macOS 14 (Sonoma), RHEL 8","> 1,000","3.6, 3.8, 3.9, 3.12","spack load, Spack environments, Environment Modules (TCL modules), spack build-env, spack view","Environments, Module generation, Chaining (upstreams), Mirrors (spack mirror create / air gap support), Build caches (making binary packages), Weekly develop snapshots on cache.spack.io, OCI build caches (pushing packages to container registries), Public build caches at cache.spack.io / binaries.spack.io, build-env (debug a build), spack-python (Python scripting), spack external find, Externals in packages.yaml, Concretization preferences in packages.yaml, `require:` directive in packages.yaml, `prefer:` directive in packages.yaml, Distributed Builds (srun/mpirun spack install), spack develop, concretization: --fresh (build everything fresh), concretizer:unify:true (concretize together), Variant/flag propagation (++, ~~, ==), Git versions, spack load, spackbot (@spackbot fix style; @spackbot rebuild everything, etc.), spack diff (compare two specs)",Yes -- several,No,spack manager (https://sandialabs.github.io/spack-manager/),"AMD, Intel, ARM","NVIDIA Ampere, NVIDIA Hopper, AMD MI300A","gcc, Intel OneAPI, LLVM, AMD ROCmCC (amdclang/hipcc), nvcc (CUDA), CCE (Cray Compilers)",Very Important,Slightly Important,Not Important,Slightly Important,Very Important,Critical,Very Important,Very Important,Slightly Important,Very Important,Somewhat important,Very Important,Slightly Important,Critical,Critical,Critical,,Yes,"Yes, I'm presenting!",Yes,"Documentation, Slack, Coworkers, spack help, Source Code, Weekly Telecons, ChatGPT / other LLMs",Daily,Probably,OK,Excellent,Good,Good,Wrote an extension,It is a platform which I build devops infrastructure around,It is a platform which I build devops infrastructure around,"Needing to reconcretize often with `--force`, incremental reconcretization almost never works for me. Solver speed. Interactions with filesystems and general latency of commands when chaining calls to spack together.",Reduce sensitivity to filesystem latency; make it faster,,I'm spack-a-holic. Grateful for spack everyday.,,,,,,,
4/9/2025 20:45:46,Scientist/Researcher,University HPC/Computing Center,United States,Julia,"Statistics / Data Analysis, AI/ML",Used at my site,0,No,0.23,Rocky 8,100 - 200,3.11,Spack environments,"Environments, spack load",No,No,No,"AMD, Intel",NVIDIA Ampere,gcc,Slightly Important,Not Important,Not Important,Not Important,Not Important,Slightly Important,Slightly Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Slightly Important,Not Important,,Not sure,No,No,Documentation,Monthly,Probably not,OK,Good,OK,Good,load an environment,,,,,,,,,,,,,
4/10/2025 0:18:00,User Support Staff,University HPC/Computing Center,Germany,"Fortran, C, C++, Python, sh/bash/other shell script","HPC / Simulation, User Support",From the meetings in the Exascale Computing Project,0,Issues,e4s 24.11,AlmaLinux 9,10 - 100,3.11,Environment Modules (TCL modules),"Module generation, Build caches (making binary packages)",No,No,No,"AMD, Intel","NVIDIA Hopper, NVIDIA Blackwell","gcc, Intel OneAPI, NVHPC, nvcc (CUDA)",Somewhat important,Not Important,Not Important,Not Important,Very Important,Slightly Important,Very Important,Somewhat important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,,Yes,No,No,"Documentation, Slack, Source Code",Yearly,Probably not,OK,OK,Good,Good,Installing a package.,"We have users with very different levels of Linux proficiency. The users with little Linux experience tend to come to us to ask for specific computational packages to be installed. I tend to try to install them with Spack first. I do a Spack install of the package for CPUs and then for GPUs. I also copy the module files to our regular module files locations. I edit the module files so they know where to find the Spack module files for the dependencies. One thing I need to be careful about is the microarchitecture, which is sapphirerapids but the assembler does not recognize the AVX512_VNNI instructions, so I have to force compilation for cascadelake instead. I have had trouble mixing package builds for multiple microarchitectures, so I am always going for the highest common denominator, which is cascadelake. ",The release of e4s-24.11. Many issues I had before have been resolved and things run much more smoothly.,I have users who want the latest greatest thing from particular simulation codes. These things are often not yet supported in Spack. Trying to add those additional libraries to a given package often seems to require a lot more than just making sure the library compiles with Spack and then telling the code package that needs it to just link that library. I tend to get stuck there because of the level of CMake knowledge and code specific knowledge required to figure this out. It doesn't help that applications code tend to do unconventional things in their build systems to integrate extra functionality. It would be really nice if developers could be convinced that extra functionality just comes in a library that gets compiled separately and linked to an application. That way the workflow for adding extra pieces would be clear.,"Possibly advertising. The more people use Spack the more it makes sense for code developers to make sure their stuff builds well with Spack, the more likely it is that developers will adopt conventional build strategies, the more sane everything gets for the rest of us.",No.,,,,,,,,
4/10/2025 0:52:39,Research Software Engineer (RSE),University HPC/Computing Center,Switzerland,"C++, Python",HPC / Simulation,Word of mouth,5,"Packages, Slack Discussions, Issues",develop (1.0.0dev0),"Cray EX, NixOS",100 - 200,3.12,spack build-env,"Environments, Chaining (upstreams), Build caches (making binary packages), Weekly develop snapshots on cache.spack.io, build-env (debug a build), spack-python (Python scripting), spack external find, Externals in packages.yaml, Concretization preferences in packages.yaml, `require:` directive in packages.yaml, `prefer:` directive in packages.yaml, spack develop, concretization: --reuse (default), concretization: --fresh (build everything fresh), concretizer:unify:true (concretize together), concretizer:unify:when_possible, Multiple build systems in one package, Variant/flag propagation (++, ~~, ==), Git versions, spack load, spackbot (@spackbot fix style; @spackbot rebuild everything, etc.)",Yes -- several,Yes,No,"AMD, ARM","NVIDIA Ampere, NVIDIA Hopper, AMD MI200/250X, AMD MI300A","gcc, NVHPC, LLVM, nvcc (CUDA)",Very Important,Slightly Important,Somewhat important,Very Important,Slightly Important,Somewhat important,Slightly Important,Very Important,Somewhat important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Somewhat important,Very Important,,Yes,"Yes, I'm attending",No,"Documentation, Slack, Coworkers, GitHub Issues, Source Code",Weekly,Probably not,Good,Excellent,Good,Good,Update a package with spack checsum --latest --add-to-package,,,,,,,,,,,,,
4/10/2025 1:07:50,Software Developer,Company,Singapore,"Fortran, C, C++, Python, sh/bash/other shell script, Lua","HPC / Simulation, AI/ML, Compiler Testing, Profiling Tools",Linux Foundation / HPSF,4,"Packages, Documentation, Slack Discussions, Issues",develop (1.0.0dev0),"Ubuntu 20, Ubuntu 22, Ubuntu 24, SLES15, Windows Subsystem for Linux (WSL), Cray EX",200 - 500,"3.8, 3.10, 3.12","Spack environments, Lmod, Custom script or env vars","Environments, Module generation, Stacks (matrices in environments), spack external find, Externals in packages.yaml, Concretization preferences in packages.yaml, `require:` directive in packages.yaml, `prefer:` directive in packages.yaml, Distributed Builds (srun/mpirun spack install), concretization: --reuse (default), concretization: --fresh (build everything fresh), concretizer:unify:true (concretize together), concretizer:unify:when_possible, Variant/flag propagation (++, ~~, ==), spackbot (@spackbot fix style; @spackbot rebuild everything, etc.)",No,Yes,Other script to wrap spack,"AMD, ARM","AMD MI200/250X, AMD MI300A, AMD MI300X, No GPUs","gcc, LLVM, AMD ROCmCC (amdclang/hipcc), CCE (Cray Compilers), armclang",Critical,Not Important,Somewhat important,Very Important,Critical,Critical,Critical,Critical,Very Important,Somewhat important,Very Important,Critical,Very Important,Critical,Critical,Critical,,Yes,Maybe,No,"Documentation, Slack, Coworkers, GitHub Issues, spack help, Source Code",Weekly,Probably,Excellent,Excellent,Good,Excellent,Testing LLVM flang 20.1,"Clone Spack develop branch and additionally my fork if on a personal device. Run spack external find --all for both OS packages and GPU stack, then adjust as necessary.",Buliding my own compilers and MPI stacks for testing purposes,Waiting to concretize and build,Better diagnostic messages and smoother user experience in general,ROCm version pinning,"As soon as I have more time (and authorization from my higher-ups), I'd like to start maintaining Spack recipes for some of the ROCm components.",,,,,,,
4/10/2025 2:57:51,Research Software Engineer (RSE),Other Public Research Lab,Germany,"Fortran, C, Perl, sh/bash/other shell script","HPC / Simulation, Computer Science",Used at my site,6,"Slack Discussions, Issues","0.21, develop (1.0.0dev0), custom fork","RHEL 8, Debian 11, Debian 12",10 - 100,3.11,Environment Modules (TCL modules),"Chaining (upstreams), Externals in packages.yaml, Concretization preferences in packages.yaml",Yes -- just one,Yes,No,"AMD, Intel, ARM","NVIDIA Ampere, NVIDIA Other","gcc, Classic Intel Compilers, Intel OneAPI, NVHPC, NAG",Very Important,Not Important,Not Important,Not Important,Somewhat important,Very Important,Very Important,Very Important,Not Important,Not Important,Not Important,Not Important,Not Important,Somewhat important,Not Important,Not Important,,Not sure,No,No,"Documentation, Slack, GitHub Issues",Monthly,Probably,OK,OK,Good,OK,Installed some packages.,,,Finding out whether a spec will actually install what I intended.,,,,,,,,,,
4/10/2025 7:32:00,System Administrator,Company,United States,"Python, Perl, sh/bash/other shell script","HPC / Simulation, Computer Science, System Administration",Birds-of-a-feather (BOF) at conference,7,"Documentation, Issues, Tools/integrations",0.22,"RHEL 8, RHEL9, Rocky 8, Rocky 9",10 - 100,3.9,"Spack environments, Lmod","Module generation, Git versions, spack load",No,No,No,"AMD, Intel, RISC-V","NVIDIA Ampere, NVIDIA Hopper, NVIDIA Blackwell","gcc, Intel OneAPI, NVHPC, LLVM",Critical,Not Important,Slightly Important,Somewhat important,Somewhat important,Somewhat important,Critical,Somewhat important,Not Important,Not Important,Somewhat important,Somewhat important,Not Important,Somewhat important,Somewhat important,Slightly Important,"Better focus on a system-wide-admin-build-but-all-users-access-via-modules configuration and management. As an admin for a number of small-used-by-the-research-group-only type clusters (20-70 nodes), it can be an awful pain to get spack happy with me as the admin creating a install with all packages in /opt with module files that all users of the system can use WITHOUT them having access to muck around with things they shouldn't. The every-user-has-an-individual-install-of-their-applications is used by exactly ZERO percent of my end users.",Not sure,No,Yes,"Documentation, Mailing List, spack help, Source Code",Monthly,Probably not,OK,OK,OK,OK,Installed a package,"I'm using Spack a lot less these days. Nearly all the time now, I need a simple install into /opt with module files for all users. And it's been easier to extract the AMD compilers myself or simply use the OneAPI DNF repo. I have a ~dozen ""small"" clusters for different research groups that I help with and they generally need compilers and openmpi compiled and made available to all users through modules. I simply don't have the bandwidth to deal with Spack's oddities moving system to system.",I was having a heck of a time with AMD's HPL on a new cluster build a few months ago. Built it fairly quickly with Spack to do the test run. Then AMD fixed the issue and I went back to their download because it's easier to deploy and manage.,"Ideally, I have a Git repo I clone to every HPC, and I run my script out of that repo that sets up all the common applications I want/need into /opt for all users available with modules. Unfortunately, despite multiple attempts and lots of help from the community - I've never reached that goal. It might work for a time, but then something will change and I'll inevitably waste a day or two before giving up and just doing it manually.",You should see the list of packages I have to exclude from Spack trying to build when they exist on Rocky 9 already. The scan for system packages is not very good. ,Not that I can think of now,"I don't want to be a discouragement. Clearly Spack is working great for a lot of people. It just seems that Spack is going down a path that isn't the very-simple path that I'm on. My setup is really quite simple and while in theory I'd love to have it managed by Spack, it seems our directions are diverging. And that's ok. :-)",,,,,,,
4/10/2025 8:22:33,DevOps/SRE,Other Public Research Lab,United States,"Fortran, C, Python, Go, Perl, sh/bash/other shell script","HPC / Simulation, Statistics / Data Analysis, AI/ML, Computer Science, System Administration, DevOps",Word of mouth,5,"GitHub Discussions, Issues","0.19, 0.21, 0.22, 0.23","RHEL 8, RHEL9, CentOS 7, CentOS 8, Rocky 9, Ubuntu 20, Ubuntu 22",100 - 200,"3.9, 3.11","spack load, Lmod, Environment Modules (TCL modules)","Chaining (upstreams), Mirrors (spack mirror create / air gap support), Build caches (making binary packages), spack external find, spack load",No,Yes,No,"AMD, Intel, ARM","NVIDIA Volta, NVIDIA Ampere, NVIDIA Hopper, AMD MI200/250X, AMD MI300A, AMD MI300X","gcc, Classic Intel Compilers, Intel OneAPI, NVHPC, LLVM, nvcc (CUDA)",Very Important,Somewhat important,Critical,Somewhat important,Somewhat important,Very Important,Critical,Very Important,Slightly Important,Very Important,Slightly Important,Slightly Important,Critical,Very Important,Somewhat important,Very Important,"""Best Practices"" (of which there are many) - how to structure your install, how to upgrade across spack versions, tips-and-tricks/common pitfalls - once a spack install is created it's ""hard to upgrade"" or get the users to ""move to something new"" so starting on the right foot is very helpful.",Yes,No,Yes,"Documentation, Slack, GitHub Issues, GitHub Discussions, Source Code",Weekly,Probably,Good,Excellent,Excellent,Excellent,Installing a NetCDF & compiler matrix,"Developers ask for ""software to be installed"", and usually don't know/don't bother giving us the options, versions, etc. So being able to iterate on ""is this the right version/flags"" is helpful.","Repeatability, ""living documentation"" (what was installed, what dependencies, what versions, what flags, etc.).","Upgrading from older versions to newer (or newer repos). Users get attached to the current install, especially with modules that include the hash in the name.","On-ramps for _developers_ / researchers to use the tool (chaining and installing your own repos, or environments, etc etc ) - not just expect ""someone else to install it and deal with it forever"". Cultural change on their end, but a walkthrough, example ""how $developer solved their problem"" might help",None at the moment.,"Great software and community, thank you!!!",,,,,,,
4/10/2025 8:25:53,System Administrator,University HPC/Computing Center,United States,Python,HPC / Simulation,Search,1,No,0.22,Ubuntu 22,10 - 100,3.1,Environment Modules (TCL modules),,No,No,No,"AMD, Intel",NVIDIA Other,"gcc, Intel OneAPI, nvcc (CUDA)",Slightly Important,Not Important,Not Important,Not Important,Not Important,Not Important,Somewhat important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Critical,Somewhat important,Somewhat important,,Not sure,No,No,"Documentation, Slack, spack help",Yearly,No,Excellent,Excellent,Excellent,Excellent,installing packages,Math Dept HPC servers used by researchers needing various packages/versions. ,,,,,,,,,,,,
